recipe_title,subcategory,ingredients,directions,num_ingredients,num_steps,est_prep_time_min,est_cook_time_min,dietary_profile,healthiness_score,health_level
Air Fryer Potato Slices with Dipping Sauce,Air Fryer Recipes,"[""3/4 cup ketchup"", ""1/2 cup beer"", ""1 tablespoon Worcestershire sauce"", ""1/2 teaspoon onion powder"", ""1/4 teaspoon cayenne"", ""2 baking potatoes"", ""olive oil cooking spray"", ""1/2 teaspoon garlic powder"", ""salt and freshly ground black pepper""]","[""Combine ketchup, beer, Worcestershire sauce, onion powder, and cayenne in a small saucepan. Bring to a boil, then reduce heat, and simmer for 3 to 5 minutes. Remove from heat, and cool. Cover and store in the refrigerator until ready to use."", ""Preheat the air fryer to 400 degrees F (200 degrees C). Spray the basket with cooking spray or line with a disposable parchment liner."", ""Slice potatoes 1/4-inch thick (use a mandoline if you have one), and place in a bowl. Spray potatoes with olive oil spray, and sprinkle with garlic powder, salt and pepper. Give the potatoes a good stir."", ""Place potatoes in a single layer in the air fryer, and cook, shaking occasionally, until they start to crisp up a bit and turn golden brown, 14 to 17 minutes. Cooking times can vary depending on the brand and size of the fryer, and you may have to cook in batches."", ""Remove from the fryer, and serve with beer ketchup dipping sauce.""]",9,5,23,74,"[""vegan"", ""gluten_free"", ""nut_free"", ""kosher""]",80,healthy
Air Fryer Everything Bagel Chicken Cutlets,Air Fryer Recipes,"[""4 chicken cutlets (about 1 pound total)"", ""salt and freshly ground black pepper to taste"", ""3/4 cup all-purpose flour"", ""2 large eggs"", ""2 tablespoons milk"", ""3 ablespoons verything Bagel seasoning"", ""1 1/2 cups panko breadcrumbs"", ""olive oil cooking spray"", ""parchment""]","[""Preheat an air fryer to 400 degrees F (200 degrees C), or according to manufacturer's instructions."", ""Pat chicken cutlets dry with paper towels; season lightly with salt and pepper. Place flour in a resealable plastic bag; set aside."", ""Beat eggs with milk until well blended in a shallow bowl. On a plate, stir everything bagel seasoning and panko together."", ""Add cutlets to the bag with flour. Seal the bag and toss until cutlets are coated."", ""Working with 1 cutlet at a time, shake off any extra flour, dip each cutlet into egg mixture, and shake off any excess. Press each cutlet into panko mixture, then turn and press crumbs into the other side to adhere. Place breaded cutlets on a sheet of parchment; continue until all cutlets are coated."", ""Generously spray each cutlet with olive oil spray on both sides, and place cutlets in the air fryer in a single layer, working in batches if needed."", ""Air fry for 8 to 12 minutes, turning over halfway through, if desired. Thin cutlets will take less time, and thick cutlets will take more. An instant read thermometer inserted near the center should read 165 degrees F (74 degrees C)."", ""Meanwhile, for glaze, combine rice vinegar, water, brown sugar, Sriracha, ginger, garlic, and soy sauce in a small saucepan and bring to a boil over medium heat. Reduce heat, and simmer until barely thickened, 3 to 5 minutes."", ""Drizzle each cutlet with glaze and serve warm. Garnish with fresh parsley sprigs.""]",9,9,28,103,"[""nut_free"", ""halal"", ""kosher""]",70,moderate
Air Fryer Peanut Chicken,Air Fryer Recipes,"[""2 tablespoons Thai sweet chili sauce"", ""1 tablespoon soy sauce"", ""1 tablespoon Sriracha"", ""1 lime, zested and juiced"", ""1 teaspoon granulated garlic"", ""1 tablespoon fresh ginger"", ""1/3 cup creamy peanut butter"", ""salt to taste"", ""6 skinless, boneless chicken thighs"", ""cooking spray"", ""2 cups cooked rice, or as needed"", ""chopped cilantro"", ""dry-roasted peanuts""]","[""Combine chili sauce, soy sauce, Sriracha, lime zest, lime juice, granulated garlic, minced ginger, peanut butter, and salt to taste in a large resealable plastic bag. Gently move and mash the ingredients inside the bag until well blended."", ""Add chicken to the bag, and squeeze out as much air as possible. Move chicken around inside the bag until each piece is coated in marinade. Marinate in the refrigerator for at least 30 minutes and up to 24 hours."", ""Preheat an air fryer to 350 degrees F (180 degrees C), or according to manufacturer's recommendations."", ""Spray the cooking surface of the air fryer with cooking spray."", ""Take chicken pieces from the bag, and allow the marinade to drip back into the bag. Place chicken pieces in the air fryer in a single layer and air fry for 20 to 22 minutes, turning halfway through, until an instant-read thermometer inserted near the center reads 165 degrees F (74 degrees C)."", ""Meanwhile, add about 1/2 cup of water to the unused marinade, and mix contents; pour into a microwave-safe container. Microwave on High, until marinade comes to a boil, and cook about 1 minute longer; watch carefully to see it does not boil over."", ""Serve chicken over rice, with sauce on the side as a dip. Garnish with chopped cilantro, sliced scallions, julienne cucumbers and carrots, and chopped peanuts, as desired.""]",13,7,30,53,"[""gluten_free"", ""halal"", ""kosher""]",64,moderate
Air Fryer Sauteed Onions,Air Fryer Recipes,"[""1 large onion"", ""1 1/2 teaspoons olive oil"", ""salt and freshly ground black pepper""]","[""Preheat an air fryer to 400 degrees F (200 degrees C)."", ""Place onion petals and olive oil in a bowl; season with salt and pepper and toss to coat."", ""Pour mixture into the basket of the air fryer. Cook 10 minutes. Shake the basket and cook 2 minutes more.""]",3,3,11,24,"[""vegan"", ""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",76,moderate
Air Fryer English Muffin Tuna Melt,Air Fryer Recipes,"[""2 English muffins"", ""2 (5-ounce) cans tuna"", ""3 tablespoons mayonnaise"", ""1 tablespoon mustard"", ""3 tablespoons celery"", ""1 tablespoon onion"", ""salt and freshly ground black pepper to taste"", ""4 slices provolone cheese"", ""4 slices Cheddar cheese""]","[""Preheat an air fryer to 325 degrees F (165 degrees C). Place sliced English muffins in air fryer and toast until lightly browned, 2 to 4 minutes. Remove and set aside."", ""Combine tuna, mayonnaise, mustard, celery, onion, salt, and pepper in a bowl and mix until combined. Divide tuna mixture into 4 equal parts, and top each muffin half with tuna. Top each with 1 slice provolone cheese and 1 slice Cheddar cheese. Air fry until cheese is melted, 5 to 8 minutes.""]",9,2,20,16,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",78,moderate
Air Fryer Honey Mustard Salmon Bites,Air Fryer Recipes,"[""1 pound salmon"", ""1 teaspoon olive oil"", ""1/2 teaspoon paprika"", ""1/4 teaspoon salt"", ""1/8 teaspoon black pepper"", ""1/4 cup honey mustard""]","[""Gather all ingredients. Preheat an air fryer to 400 degrees F (200 degrees C)."", ""Combine salmon, oil, paprika, salt, and pepper in a small mixing bowl. Toss to combine. Place seasoned salmon in the basket of the air fryer."", ""Air fry for 4 minutes."", ""Using a basting brush, lightly brush honey mustard over salmon pieces. Stick a toothpick in each bite."", ""Air fry until fish flakes easily with a fork, about 4 minutes more."", ""Transfer to a serving plate and serve immediately.""]",6,6,17,38,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",66,moderate
Wet Wet Wings,Air Fryer Recipes,"[""2 pounds chicken wings and drummettes"", ""1 tablespoon oil"", ""1 1/2 teaspoons kosher salt"", ""1/2 teaspoon pepper"", ""1 cup Wet Wet sauce"", ""1/2 bunchgreen onions, green parts only, sliced (optional) green onions, green parts only, sliced (optional)"", ""1 teaspoon sesame seeds (optional)""]","[""Toss wings in a bowl with oil, salt, and pepper. Transfer to the air fryer basket."", ""Air fry the wings at 400 degrees F (200 degrees C) until cooked through and crisp, 20 to 25 minutes."", ""While wings cook, prepare the wet wet sauce and set aside."", ""Pour wet wet sauce over wings and toss to until well coated with sauce. Sprinkle with green onions and sesame seeds if desired.""]",7,4,15,22,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",72,moderate
Air Fryer Lemon Garlic Parmesan Chicken,Air Fryer Recipes,"[""1 1/2 pounds skinless boneless chicken thighs"", ""3 cloves garlic, minced"", ""1 teaspoon lemon zest"", ""1 teaspoon paprika"", ""1 teaspoon dried oregano"", ""1/2 teaspoon salt"", ""1/4 teaspoon crushed red pepper"", ""1/2 cup grated parmesan cheese"", ""1/4 cup panko bread crumbs"", ""cooking spray""]","[""Gather all ingredients."", ""Preheat an air fryer to 400 degrees F (200 degrees C)."", ""Place chicken in a large bowl. Add garlic, lemon zest, paprika, oregano, salt, and crushed red pepper; toss to coat chicken in the seasonings."", ""Combine Parmesan cheese and panko in a shallow dish. Dredge chicken in Parmesan mixture to coat. Sprinkle any remaining mixture over chicken; pat to adhere."", ""Coat the chicken generously with cooking spray."", ""Lightly coat air fryer basket with cooking spray. Place chicken in prepared basket (cook in batches, if needed). Air fry 12 minutes or until an instant-read thermometer inserted in the center reads 170 degrees F (77 degrees C)."", ""Serve immediately.""]",10,7,24,46,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",82,healthy
Lemon Garlic Butter Chicken Spiedini,Air Fryer Recipes,"[""1/2 cup extra-virgin olive oil"", ""1/4 cup white wine, such as Pinot Grigio"", ""3 tablespoons lemon juice"", ""1 teaspoon lemon zest"", ""4 cloves garlic"", ""1/4 teaspoon crushed red pepper flakes"", ""1/4 teaspoon oregano"", ""2 teaspoons kosher salt"", ""1 teaspoon pepper"", ""2 pounds skinless boneless chicken thighs"", ""2/3 cup Italian breadcrumbs"", ""2/3 cup panko"", ""1/2 cup grated Parmesan cheese"", ""1/2 teaspoon garlic powder"", ""skewers"", ""cooking spray"", ""4 tablespoons butter"", ""2 teaspoons fresh parsley""]","[""Whisk together olive oil, wine, 2 tablespoons lemon juice, lemon zest, 1/2 of the garlic, crushed red pepper, oregano, 1 teaspoon salt, and 1/2 teaspoon pepper in a bowl. Add chicken and toss to coat. Cover and refrigerate 30 minutes to 1 hour."", ""Stir together remaining salt and pepper with bread crumbs, panko, Parmesan cheese, and garlic powder in a shallow dish. Remove chicken from marinade and toss to coat in breadcrumb mixture, pressing to adhere as necessary. Thread chicken onto skewers and coat with olive oil cooking spray."", ""Preheat an air fryer to 390 degrees F (198 degrees C). Air fry until chicken is no longer pink at the center and juices run clear, and is until lightly golden brown and crisp, about 12 minutes. An instant read thermometer, inserted near the center, should read 165 degrees F (74 degrees C)."", ""Meanwhile, melt butter with remaining garlic in a microwave-safe dish on High in the microwave, about 10 seconds. Stir in remaining lemon juice and parsley. Drizzle butter mixture over chicken just before serving.""]",18,4,36,34,"[""nut_free"", ""kosher""]",74,moderate
Air Fryer Eggplant,Air Fryer Recipes,"[""1 pound eggplant"", ""2 tablespoons avocado oil"", ""1/2 teaspoon garlic powder"", ""1/2 teaspoon dried thyme"", ""1/2 teaspoon lemon pepper"", ""1/4 teaspoon salt""]","[""Preheat an air fryer to 400 degrees F (200 degrees C). Place a disposable paper liner in the air fry basket or give it a spritz of cooking spray."", ""Stir eggplant cubes in a large bowl with avocado oil. Sprinkle with garlic powder, thyme, lemon pepper, and salt. Toss until all pieces are well coated."", ""Place the eggplant cubes in a single layer in the air fryer basket, and mist with cooking spray. Cook until browned on the outside and tender inside, 15 to 17 minutes, shaking the basket halfway through. Serve immediately.""]",6,3,16,34,"[""vegan"", ""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",84,healthy
